Age,Gender,Race,Prior_Offenses,Risk_Score,re-offend,Employment_Status,Location,Family_Background
30,1,2,3,0.089932914,0,Employed,Rural,No Criminal Background
45,0,1,3,1,0,Part-Time,Rural,Criminal Background
50,1,2,4,0.338216517,0,Part-Time,Urban,No Criminal Background
54,0,2,0,0.240073716,1,Part-Time,Urban,Criminal Background
58,0,3,4,1,1,Unemployed,Rural,Criminal Background
47,1,1,0,1,0,Student,Rural,Criminal Background
66,0,1,2,0.46981358,1,Part-Time,Rural,Criminal Background
65,1,3,1,0.354801419,0,Employed,Urban,Criminal Background
25,1,2,0,0.608609954,0,Part-Time,Rural,No Criminal Background
66,0,2,3,0.931837418,1,Employed,Rural,No Criminal Background
64,1,3,3,0.063149202,0,Student,Urban,Criminal Background
18,1,3,1,0.62301084,0,Part-Time,Rural,Criminal Background
29,0,0,0,1,0,Student,Urban,Criminal Background
22,1,2,1,0.275198592,0,Part-Time,Rural,No Criminal Background
41,1,0,2,0.908827214,0,Employed,Urban,Criminal Background
23,0,1,1,1,0,Employed,Urban,No Criminal Background
42,1,0,2,0.309526687,0,Unemployed,Urban,Criminal Background
18,1,3,3,0.95406536,1,Unemployed,Urban,Criminal Background
42,0,3,2,0.332255424,0,Unemployed,Urban,Criminal Background
18,1,3,0,0.737611162,0,Part-Time,Urban,No Criminal Background
49,1,3,0,0.83729097,0,Student,Rural,Criminal Background
59,0,0,0,0.271926274,1,Part-Time,Urban,No Criminal Background
59,1,0,0,0.751663021,1,Employed,Rural,Criminal Background
20,1,0,4,0.812104539,1,Student,Urban,No Criminal Background
66,0,3,2,0.394436759,0,Employed,Urban,No Criminal Background
36,0,3,0,0.245026333,0,Unemployed,Rural,Criminal Background
60,1,2,1,0.091964567,0,Employed,Urban,No Criminal Background
46,1,2,1,0.664565868,0,Part-Time,Rural,Criminal Background
67,0,3,4,1,0,Employed,Rural,Criminal Background
19,1,2,2,0.864097836,1,Employed,Rural,Criminal Background
26,1,1,2,0.523007567,0,Employed,Urban,Criminal Background
34,1,1,2,0.676142338,1,Student,Rural,No Criminal Background
63,0,3,4,0.355140178,0,Employed,Rural,Criminal Background
53,1,0,2,0.171219161,1,Employed,Rural,No Criminal Background
34,1,1,2,0.665271998,0,Unemployed,Urban,Criminal Background
66,0,1,0,0.703595377,1,Unemployed,Urban,No Criminal Background
29,0,0,2,0.574122948,0,Part-Time,Urban,Criminal Background
37,0,2,0,1,1,Unemployed,Urban,No Criminal Background
67,1,0,0,0.6038953,0,Employed,Urban,Criminal Background
20,1,2,2,0.731469493,0,Unemployed,Rural,Criminal Background
60,0,2,1,0.162655461,0,Student,Rural,Criminal Background
67,1,0,3,1,0,Part-Time,Rural,No Criminal Background
21,1,2,1,1,0,Unemployed,Rural,Criminal Background
34,1,1,2,1,1,Part-Time,Urban,Criminal Background
67,1,3,2,0.455730453,0,Part-Time,Urban,No Criminal Background
54,0,2,1,0.552340905,1,Part-Time,Urban,No Criminal Background
63,0,1,2,0.689150628,0,Student,Urban,Criminal Background
59,1,0,0,0.203799266,0,Employed,Rural,No Criminal Background
32,0,2,4,0.796359976,0,Student,Rural,No Criminal Background
50,1,1,2,1,1,Part-Time,Rural,Criminal Background
33,1,2,2,0.188261691,0,Unemployed,Urban,No Criminal Background
28,0,0,1,0.114652247,0,Unemployed,Rural,No Criminal Background
37,0,3,0,0.937907119,0,Student,Rural,No Criminal Background
55,1,2,1,0.314182106,0,Unemployed,Urban,Criminal Background
41,1,3,1,0.623862542,0,Part-Time,Urban,No Criminal Background
33,1,2,2,0.730546255,0,Part-Time,Rural,Criminal Background
47,1,2,0,0.321910764,0,Employed,Urban,Criminal Background
51,0,0,2,0.94149201,0,Part-Time,Rural,No Criminal Background
18,0,2,2,0.730522865,1,Unemployed,Rural,Criminal Background
41,1,1,2,1,0,Employed,Rural,Criminal Background
41,1,1,2,1,1,Unemployed,Rural,Criminal Background
26,0,3,4,1,0,Student,Rural,Criminal Background
39,1,3,3,0.02217752,0,Employed,Urban,No Criminal Background
29,0,1,0,0.321428264,0,Part-Time,Urban,Criminal Background
34,1,3,4,0.09000794,0,Employed,Urban,Criminal Background
42,0,3,3,0.510605885,0,Part-Time,Rural,Criminal Background
45,1,1,3,1,0,Part-Time,Rural,No Criminal Background
32,1,1,3,0.645205562,0,Unemployed,Urban,No Criminal Background
47,1,1,4,1,0,Part-Time,Urban,Criminal Background
68,0,0,0,0.359896062,0,Part-Time,Urban,Criminal Background
44,0,0,1,0.431423777,0,Part-Time,Rural,No Criminal Background
39,1,1,3,1,1,Unemployed,Urban,No Criminal Background
27,1,2,1,0.425817147,1,Part-Time,Urban,No Criminal Background
48,1,1,1,1,0,Student,Rural,Criminal Background
44,1,0,2,0.27214008,1,Unemployed,Urban,No Criminal Background
29,0,3,1,1,1,Student,Urban,No Criminal Background
63,0,2,2,0.663637875,0,Employed,Rural,Criminal Background
48,0,2,0,1,0,Unemployed,Rural,Criminal Background
49,1,3,0,0.0895157,1,Student,Urban,No Criminal Background
49,1,2,2,0.594892053,0,Unemployed,Rural,Criminal Background
58,0,3,0,1,0,Part-Time,Urban,Criminal Background
62,1,0,3,1,0,Unemployed,Urban,Criminal Background
52,0,2,0,0.051495353,1,Employed,Urban,No Criminal Background
63,0,2,2,0.334068316,1,Student,Urban,Criminal Background
38,0,3,3,0.647723778,0,Unemployed,Rural,Criminal Background
27,0,3,1,0.198965861,1,Part-Time,Rural,Criminal Background
33,1,0,1,0.766498227,0,Student,Rural,Criminal Background
24,0,3,1,0.202963195,0,Student,Urban,Criminal Background
21,1,3,2,0.381303664,0,Student,Urban,Criminal Background
44,0,0,1,0.802569571,1,Employed,Urban,Criminal Background
69,0,1,0,0.734993415,0,Part-Time,Rural,Criminal Background
42,0,1,1,0.974913771,0,Part-Time,Urban,Criminal Background
48,0,3,4,1,0,Student,Urban,No Criminal Background
28,1,0,4,0.14743156,0,Unemployed,Urban,Criminal Background
65,1,1,1,0.983460855,0,Student,Rural,Criminal Background
37,1,0,1,0.253378571,0,Part-Time,Urban,Criminal Background
53,1,3,4,0.414476727,1,Employed,Urban,Criminal Background
34,0,3,1,0.041752093,0,Employed,Rural,Criminal Background
62,1,0,3,0.142702751,0,Student,Rural,Criminal Background
28,1,2,4,0.319777289,0,Employed,Urban,No Criminal Background
47,0,3,2,0.376184386,0,Employed,Urban,Criminal Background
52,1,3,4,1,0,Unemployed,Rural,Criminal Background
58,1,3,0,0.778903555,1,Employed,Rural,No Criminal Background
55,1,3,3,1,0,Unemployed,Rural,No Criminal Background
39,1,0,2,0.59907151,1,Student,Urban,No Criminal Background
60,0,0,1,0.307097297,1,Part-Time,Rural,Criminal Background
65,0,0,0,0.396462586,0,Part-Time,Urban,Criminal Background
68,1,0,0,0.424822065,0,Unemployed,Rural,Criminal Background
44,0,2,3,0.395058136,0,Part-Time,Urban,Criminal Background
54,1,0,2,0.74026059,0,Student,Urban,Criminal Background
63,1,0,0,0.613083157,0,Part-Time,Rural,Criminal Background
66,1,3,2,0.404695387,0,Employed,Rural,No Criminal Background
52,0,2,2,0.163998746,0,Student,Urban,Criminal Background
21,0,3,0,0.025570733,1,Student,Rural,Criminal Background
33,0,2,2,0.240718145,0,Part-Time,Urban,No Criminal Background
33,0,1,3,0.141862253,0,Part-Time,Urban,Criminal Background
38,0,2,0,1,0,Unemployed,Rural,No Criminal Background
43,0,2,3,0.136122529,0,Employed,Urban,No Criminal Background
53,1,3,3,0.760439649,0,Part-Time,Rural,No Criminal Background
36,0,2,2,0.424224559,1,Part-Time,Urban,No Criminal Background
34,1,2,2,0.084385148,1,Unemployed,Urban,Criminal Background
62,1,3,0,0.853366552,0,Part-Time,Rural,Criminal Background
43,0,1,1,0.765112353,0,Employed,Urban,Criminal Background
39,1,1,0,0.282913815,0,Employed,Urban,Criminal Background
45,1,1,3,1,0,Student,Urban,Criminal Background
18,1,2,2,0.04752123,1,Student,Rural,Criminal Background
61,0,3,3,0.256411812,1,Employed,Rural,No Criminal Background
53,0,1,4,1,0,Unemployed,Urban,No Criminal Background
60,1,1,4,0.851253516,0,Student,Urban,No Criminal Background
54,0,1,3,0.381838636,0,Employed,Urban,No Criminal Background
19,1,1,1,0.078151343,0,Employed,Rural,No Criminal Background
34,0,3,1,1,0,Student,Urban,Criminal Background
57,1,1,0,0.414080882,0,Employed,Urban,Criminal Background
55,1,2,0,0.205499086,0,Employed,Rural,No Criminal Background
38,0,2,0,0.596051405,0,Employed,Rural,No Criminal Background
26,0,3,2,1,0,Employed,Urban,Criminal Background
30,0,0,1,0.055325927,0,Student,Rural,Criminal Background
28,0,1,3,1,0,Unemployed,Urban,Criminal Background
33,0,1,4,0.793447894,0,Employed,Rural,Criminal Background
33,1,2,1,0.446721572,0,Part-Time,Rural,Criminal Background
19,1,3,1,0.898477136,1,Unemployed,Rural,No Criminal Background
59,1,0,1,1,0,Part-Time,Rural,No Criminal Background
61,0,2,0,0.252126832,1,Part-Time,Urban,No Criminal Background
25,0,0,2,0.158012102,0,Employed,Urban,Criminal Background
60,1,3,3,1,0,Student,Rural,No Criminal Background
59,1,3,0,0.735848385,0,Part-Time,Urban,No Criminal Background
30,1,3,2,0.437986022,0,Part-Time,Urban,No Criminal Background
34,1,2,1,0.630585527,0,Part-Time,Urban,Criminal Background
56,0,3,2,0.86118406,1,Employed,Rural,Criminal Background
41,1,2,0,0.811683494,0,Employed,Rural,Criminal Background
20,0,2,1,1,0,Student,Urban,Criminal Background
47,1,1,0,0.512211347,0,Employed,Urban,No Criminal Background
69,0,2,3,0.371164801,0,Unemployed,Urban,No Criminal Background
30,0,2,1,0.773993763,1,Student,Urban,Criminal Background
36,0,1,2,0.633818755,1,Employed,Rural,Criminal Background
24,0,0,0,0.654058299,0,Employed,Urban,Criminal Background
26,1,1,4,0.503982958,0,Part-Time,Urban,No Criminal Background
36,1,1,2,0.183594944,0,Employed,Urban,Criminal Background
62,1,3,2,0.469426752,1,Part-Time,Urban,No Criminal Background
57,0,3,1,0.760009604,0,Employed,Urban,Criminal Background
39,1,1,2,1,1,Employed,Rural,Criminal Background
35,1,3,0,0.517992591,0,Employed,Rural,Criminal Background
40,1,1,4,0.229019716,1,Employed,Rural,No Criminal Background
19,0,3,3,0.478964305,0,Employed,Rural,Criminal Background
67,0,2,4,0.908169488,0,Student,Rural,No Criminal Background
67,0,3,0,0.454145198,0,Employed,Urban,No Criminal Background
28,1,3,1,0.731357333,1,Employed,Rural,Criminal Background
48,1,2,0,0.532574366,1,Part-Time,Rural,No Criminal Background
50,1,1,2,0.384485539,1,Unemployed,Rural,Criminal Background
31,0,3,1,1,1,Unemployed,Urban,Criminal Background
33,1,3,3,0.084213454,0,Student,Urban,Criminal Background
28,0,2,3,0.577379311,1,Employed,Urban,Criminal Background
50,0,2,0,0.264247158,1,Unemployed,Urban,No Criminal Background
24,0,2,2,0.077460801,0,Part-Time,Rural,No Criminal Background
48,0,0,3,0.580888697,0,Part-Time,Rural,Criminal Background
65,1,2,4,0.57699429,0,Student,Rural,Criminal Background
63,1,1,1,0.93310919,0,Part-Time,Urban,No Criminal Background
64,0,3,4,0.989215108,1,Unemployed,Rural,No Criminal Background
31,1,3,3,0.878808223,0,Unemployed,Rural,No Criminal Background
45,0,0,3,0.518091797,0,Unemployed,Urban,No Criminal Background
60,1,3,0,0.631689787,0,Employed,Urban,Criminal Background
33,1,3,0,0.605792505,0,Part-Time,Rural,No Criminal Background
36,0,1,1,0.584284594,0,Part-Time,Rural,No Criminal Background
34,0,3,0,0.758758728,1,Employed,Rural,Criminal Background
43,0,1,2,1,0,Unemployed,Rural,Criminal Background
23,0,0,1,0.222792274,1,Part-Time,Rural,No Criminal Background
60,1,1,2,1,0,Unemployed,Rural,Criminal Background
66,0,2,0,0.058801065,1,Employed,Urban,No Criminal Background
26,1,2,1,0.354647595,0,Unemployed,Urban,Criminal Background
67,0,0,3,0.366088538,0,Student,Rural,No Criminal Background
34,1,3,4,0.689001619,0,Employed,Urban,Criminal Background
48,0,1,3,0.230075396,1,Unemployed,Rural,No Criminal Background
29,1,2,2,0.926464992,0,Employed,Rural,Criminal Background
40,1,1,3,0.99426169,0,Part-Time,Urban,No Criminal Background
22,1,2,3,0.65206582,1,Student,Urban,Criminal Background
60,0,1,4,0.635361571,0,Employed,Rural,Criminal Background
53,0,3,4,1,0,Unemployed,Urban,Criminal Background
53,0,0,3,1,0,Part-Time,Rural,Criminal Background
20,0,3,4,0.631633662,0,Unemployed,Urban,Criminal Background
41,1,1,3,1,0,Unemployed,Rural,No Criminal Background
34,1,2,1,0.623622947,0,Employed,Urban,Criminal Background
56,1,2,3,0.61733935,1,Employed,Rural,Criminal Background
43,0,0,0,0.418684728,0,Unemployed,Urban,No Criminal Background
21,1,3,4,0.462084605,0,Employed,Urban,No Criminal Background
62,1,3,4,0.089839645,0,Unemployed,Urban,Criminal Background
29,0,3,2,0.412737739,0,Employed,Rural,Criminal Background
18,0,2,2,0.765411367,0,Student,Urban,Criminal Background
38,1,0,0,0.953216031,1,Employed,Urban,No Criminal Background
36,0,2,4,1,1,Unemployed,Rural,Criminal Background
38,0,3,4,0.641859914,1,Part-Time,Rural,No Criminal Background
69,0,1,2,0.800741372,0,Employed,Urban,No Criminal Background
35,0,2,2,0.204293304,1,Student,Urban,No Criminal Background
60,1,0,3,0.764838919,1,Student,Urban,Criminal Background
69,1,3,4,0.070658793,0,Student,Urban,Criminal Background
20,1,1,4,0.358703964,0,Student,Rural,Criminal Background
66,1,2,3,0.768617849,0,Unemployed,Urban,Criminal Background
61,1,1,4,0.390990766,0,Student,Rural,No Criminal Background
49,0,1,0,0.069087768,1,Part-Time,Rural,Criminal Background
27,1,0,2,0.831870409,0,Employed,Urban,No Criminal Background
57,1,2,2,0.358431158,0,Student,Rural,Criminal Background
32,0,0,2,0.069415747,0,Employed,Urban,No Criminal Background
22,0,3,1,0.09933738,0,Unemployed,Rural,Criminal Background
21,0,1,0,0.348937695,0,Employed,Rural,Criminal Background
45,1,0,0,0.214954256,1,Unemployed,Rural,No Criminal Background
69,0,0,3,1,0,Unemployed,Urban,Criminal Background
68,0,3,1,0.408699581,1,Employed,Rural,Criminal Background
21,0,2,4,0.929423632,0,Student,Rural,No Criminal Background
32,1,0,0,0.182538298,0,Part-Time,Rural,No Criminal Background
34,0,1,1,0.683130543,0,Employed,Rural,No Criminal Background
61,0,1,1,0.953619467,1,Part-Time,Rural,No Criminal Background
20,1,1,0,0.821508476,0,Employed,Rural,Criminal Background
27,0,1,3,0.872839903,0,Part-Time,Urban,Criminal Background
64,1,0,1,0.971062682,0,Employed,Rural,No Criminal Background
59,1,1,2,0.287941686,1,Part-Time,Rural,Criminal Background
40,0,0,1,0.543091125,0,Part-Time,Urban,Criminal Background
35,1,2,4,0.928192178,0,Employed,Rural,No Criminal Background
18,0,1,0,0.107960759,0,Employed,Rural,No Criminal Background
52,0,2,4,0.070698659,0,Unemployed,Urban,Criminal Background
48,0,0,3,0.256632516,1,Part-Time,Urban,Criminal Background
61,0,3,2,0.731139509,1,Employed,Rural,No Criminal Background
18,1,2,0,0.272873608,0,Student,Rural,No Criminal Background
20,0,1,1,0.263672479,1,Student,Rural,No Criminal Background
20,0,3,2,0.609404175,1,Unemployed,Rural,Criminal Background
54,0,2,1,0.674957876,0,Student,Urban,No Criminal Background
36,1,0,3,0.260985592,1,Employed,Rural,No Criminal Background
46,1,0,0,0.330760305,0,Part-Time,Urban,Criminal Background
42,0,0,3,0.708660997,0,Employed,Rural,No Criminal Background
50,1,2,3,0.945738422,0,Student,Urban,No Criminal Background
53,1,0,3,0.779326695,0,Student,Rural,No Criminal Background
46,0,2,3,0.861194558,0,Employed,Urban,Criminal Background
43,0,1,1,0.612499496,1,Unemployed,Urban,Criminal Background
21,0,1,4,0.359375754,1,Employed,Urban,No Criminal Background
66,0,2,1,0.574648695,1,Unemployed,Urban,Criminal Background
31,0,2,2,0.887846112,0,Student,Urban,No Criminal Background
67,1,3,3,0.479114624,1,Part-Time,Rural,Criminal Background
44,0,0,2,0.977967847,0,Part-Time,Rural,Criminal Background
50,0,1,1,1,0,Employed,Rural,No Criminal Background
39,0,1,3,0.109336479,0,Unemployed,Urban,No Criminal Background
65,0,3,1,0.054946289,0,Student,Urban,Criminal Background
20,0,2,3,0.172776107,0,Part-Time,Rural,Criminal Background
40,1,2,1,0.384369676,0,Employed,Urban,Criminal Background
38,0,3,0,0.14414643,1,Employed,Urban,Criminal Background
58,1,0,4,0.870664478,1,Student,Urban,No Criminal Background
40,0,2,4,0.028006964,1,Student,Urban,Criminal Background
21,0,2,3,0.364740587,0,Employed,Rural,No Criminal Background
38,0,0,0,0.213322297,1,Employed,Rural,No Criminal Background
54,1,0,2,0.978116297,1,Employed,Rural,Criminal Background
60,0,3,0,0.846893471,0,Unemployed,Urban,Criminal Background
48,0,3,3,1,1,Student,Rural,Criminal Background
38,0,3,0,1,0,Employed,Urban,No Criminal Background
43,0,2,2,0.574148471,0,Student,Rural,No Criminal Background
58,0,3,3,0.27063857,0,Employed,Rural,Criminal Background
52,0,2,4,0.213101665,0,Employed,Urban,Criminal Background
55,0,1,0,0.308965542,1,Employed,Rural,Criminal Background
41,1,0,4,0.708593308,0,Student,Urban,No Criminal Background
28,0,0,4,0.046714816,0,Employed,Rural,No Criminal Background
58,0,1,1,0.071186447,1,Employed,Rural,Criminal Background
46,0,3,2,0.772645608,1,Student,Rural,No Criminal Background
64,1,2,0,0.674160004,0,Employed,Rural,No Criminal Background
20,1,2,4,0.698526071,0,Part-Time,Rural,No Criminal Background
18,0,2,4,0.472474181,0,Part-Time,Rural,No Criminal Background
69,1,0,2,0.805944889,0,Employed,Urban,Criminal Background
36,0,3,4,0.708786859,0,Unemployed,Rural,Criminal Background
63,0,2,4,0.133994083,0,Student,Rural,Criminal Background
66,1,2,4,0.797099307,1,Employed,Urban,No Criminal Background
39,0,2,4,1,1,Student,Urban,Criminal Background
31,1,1,1,0.086992618,0,Unemployed,Rural,Criminal Background
66,1,2,1,0.472556741,0,Unemployed,Rural,No Criminal Background
31,1,1,3,0.585019254,0,Student,Urban,No Criminal Background
61,0,2,0,0.194549787,0,Unemployed,Rural,No Criminal Background
33,0,2,2,1,0,Unemployed,Rural,Criminal Background
50,0,2,3,0.32819284,0,Student,Rural,Criminal Background
30,0,1,1,1,0,Unemployed,Urban,No Criminal Background
55,0,2,1,0.774998627,0,Part-Time,Rural,Criminal Background
66,0,3,1,0.657850405,0,Employed,Urban,Criminal Background
29,0,2,3,0.244117489,0,Part-Time,Rural,No Criminal Background
68,1,1,1,0.291328647,0,Part-Time,Urban,No Criminal Background
55,0,1,3,0.068749884,0,Employed,Urban,Criminal Background
56,0,3,1,0.278022856,0,Part-Time,Rural,Criminal Background
50,0,0,4,0.37998797,0,Employed,Urban,No Criminal Background
50,1,3,4,0.833145304,0,Employed,Urban,No Criminal Background
46,1,3,0,0.3847123,0,Student,Rural,No Criminal Background
22,1,1,1,0.905546139,0,Employed,Urban,No Criminal Background
23,0,2,0,0.483386509,1,Employed,Urban,Criminal Background
48,1,2,3,0.902598559,0,Unemployed,Urban,Criminal Background
33,1,0,0,1,0,Unemployed,Urban,Criminal Background
48,0,0,1,0.277017,1,Part-Time,Rural,Criminal Background
42,0,0,3,1,1,Employed,Rural,Criminal Background
65,0,0,3,0.71820682,0,Employed,Rural,No Criminal Background
63,1,3,4,0.899023688,1,Student,Urban,No Criminal Background
50,0,3,3,0.827839889,0,Employed,Rural,No Criminal Background
30,0,2,3,0.466344458,1,Student,Urban,No Criminal Background
69,0,3,0,0.289769211,0,Employed,Rural,Criminal Background
27,0,2,3,0.08859456,1,Unemployed,Urban,Criminal Background
41,0,2,2,0.782432494,1,Unemployed,Rural,No Criminal Background
27,0,2,4,1,0,Unemployed,Urban,Criminal Background
58,1,2,4,0.811845986,1,Part-Time,Urban,No Criminal Background
48,0,1,3,0.432096115,0,Employed,Urban,Criminal Background
30,1,2,0,0.95128552,0,Unemployed,Urban,Criminal Background
20,1,3,4,0.88817652,0,Student,Rural,Criminal Background
67,0,3,4,0.356269279,1,Unemployed,Urban,Criminal Background
69,1,3,2,0.01430749,0,Employed,Urban,Criminal Background
51,1,3,3,0.135887034,0,Unemployed,Urban,Criminal Background
66,1,1,4,1,0,Employed,Rural,Criminal Background
45,0,0,4,0.966230306,0,Employed,Rural,No Criminal Background
36,1,0,4,0.356464869,0,Unemployed,Rural,No Criminal Background
40,1,2,4,0.313714969,1,Student,Urban,Criminal Background
62,1,2,0,0.792864987,1,Part-Time,Urban,No Criminal Background
49,1,3,1,0.984624343,0,Employed,Rural,No Criminal Background
30,0,3,2,0.942756081,0,Part-Time,Urban,No Criminal Background
50,0,0,0,0.804359878,0,Unemployed,Rural,No Criminal Background
51,1,0,2,0.24267135,0,Employed,Urban,No Criminal Background
50,0,3,4,0.578322706,0,Employed,Urban,Criminal Background
22,0,2,2,0.341178339,0,Unemployed,Rural,Criminal Background
20,1,1,3,1,0,Part-Time,Urban,Criminal Background
24,0,1,3,0.510788625,0,Student,Urban,No Criminal Background
41,0,0,1,1,1,Unemployed,Urban,No Criminal Background
39,1,0,1,0.506872444,1,Unemployed,Rural,Criminal Background
62,1,0,2,0.824149405,0,Student,Urban,No Criminal Background
40,0,1,0,0.483977468,0,Student,Urban,Criminal Background
47,0,1,0,0.58097517,0,Student,Urban,Criminal Background
35,0,3,4,0.677037261,1,Student,Urban,No Criminal Background
49,0,2,0,0.093359523,0,Unemployed,Rural,No Criminal Background
24,1,0,1,1,1,Student,Rural,No Criminal Background
50,1,3,0,0.662514683,0,Part-Time,Rural,Criminal Background
22,1,1,4,0.670322419,0,Student,Urban,Criminal Background
66,1,3,3,0.88136367,0,Employed,Rural,Criminal Background
45,1,1,0,1,0,Employed,Rural,Criminal Background
25,0,2,0,0.574486445,0,Student,Urban,No Criminal Background
32,0,1,1,1,0,Unemployed,Urban,Criminal Background
69,1,3,2,0.074448431,1,Unemployed,Urban,No Criminal Background
21,1,2,3,0.118887082,0,Part-Time,Rural,Criminal Background
51,1,1,2,0.905924533,0,Unemployed,Urban,Criminal Background
22,0,0,4,0.40894607,0,Part-Time,Rural,Criminal Background
50,0,1,4,0.612777219,0,Part-Time,Urban,Criminal Background
22,0,2,2,0.378931497,0,Part-Time,Rural,Criminal Background
55,1,3,1,0.445197843,0,Student,Urban,Criminal Background
51,1,2,1,0.946043299,0,Unemployed,Urban,No Criminal Background
43,1,3,1,0.62315001,0,Employed,Rural,Criminal Background
18,1,1,3,1,0,Part-Time,Urban,No Criminal Background
21,1,1,4,0.991467789,0,Employed,Rural,No Criminal Background
56,0,2,4,0.30103288,1,Part-Time,Urban,Criminal Background
43,1,0,4,0.31919673,0,Unemployed,Rural,Criminal Background
50,0,1,3,0.465555002,1,Student,Rural,Criminal Background
50,0,0,4,1,0,Part-Time,Urban,No Criminal Background
25,0,0,2,0.030016416,0,Part-Time,Urban,No Criminal Background
37,0,2,0,0.278519347,0,Employed,Urban,No Criminal Background
33,0,1,3,1,0,Student,Rural,No Criminal Background
38,1,0,0,0.772674947,0,Unemployed,Rural,Criminal Background
62,1,1,2,0.28582734,0,Part-Time,Rural,No Criminal Background
43,1,3,1,0.264617549,0,Unemployed,Rural,No Criminal Background
40,0,0,1,0.996323908,0,Student,Rural,No Criminal Background
35,0,2,1,1,1,Employed,Rural,No Criminal Background
48,0,2,3,0.29583141,1,Student,Rural,Criminal Background
69,0,0,1,0.462561394,0,Student,Urban,Criminal Background
59,0,1,3,1,0,Student,Rural,Criminal Background
29,0,3,3,0.848108182,0,Student,Urban,Criminal Background
18,1,3,0,0.982803699,0,Unemployed,Rural,Criminal Background
59,0,2,1,0.757418637,1,Unemployed,Rural,No Criminal Background
26,0,2,4,1,0,Employed,Rural,No Criminal Background
20,1,1,1,0.391141853,0,Part-Time,Urban,No Criminal Background
68,0,2,1,0.180956315,0,Part-Time,Rural,No Criminal Background
43,1,1,1,0.893002739,1,Student,Rural,No Criminal Background
26,1,0,4,0.566322137,0,Student,Rural,Criminal Background
59,1,3,4,0.982773634,0,Unemployed,Urban,No Criminal Background
68,0,0,3,0.098202691,0,Part-Time,Urban,Criminal Background
33,1,2,4,0.885877024,0,Employed,Rural,Criminal Background
41,1,3,3,0.307959386,0,Student,Rural,Criminal Background
67,0,3,0,0.956793244,1,Unemployed,Rural,No Criminal Background
31,1,0,3,0.040128789,0,Student,Urban,No Criminal Background
20,0,1,1,0.844879677,1,Student,Rural,No Criminal Background
51,0,3,2,0.952716121,0,Unemployed,Rural,Criminal Background
50,1,1,2,0.46462527,0,Part-Time,Rural,Criminal Background
67,0,0,1,0.236951776,1,Part-Time,Urban,No Criminal Background
41,0,0,3,0.620963431,0,Student,Rural,Criminal Background
26,1,1,1,1,1,Part-Time,Rural,Criminal Background
30,1,0,4,0.372079462,1,Unemployed,Urban,Criminal Background
19,1,3,3,0.265092762,0,Part-Time,Rural,No Criminal Background
24,1,0,1,0.292882074,1,Student,Rural,Criminal Background
65,0,0,4,1,1,Student,Rural,No Criminal Background
38,1,3,4,0.413168453,0,Unemployed,Urban,No Criminal Background
36,1,1,3,0.004325088,0,Student,Urban,Criminal Background
42,1,0,0,0.902841795,0,Part-Time,Rural,Criminal Background
64,0,1,0,1,0,Unemployed,Urban,Criminal Background
39,0,3,4,0.148496346,0,Student,Rural,No Criminal Background
28,0,1,0,1,0,Unemployed,Rural,No Criminal Background
50,0,1,4,0.923038549,0,Unemployed,Urban,Criminal Background
49,0,2,0,0.55085744,0,Part-Time,Urban,Criminal Background
38,1,2,4,0.382219268,0,Part-Time,Urban,No Criminal Background
56,0,0,4,1,0,Employed,Rural,Criminal Background
37,0,2,4,0.324044494,0,Unemployed,Rural,No Criminal Background
25,0,2,4,0.363069388,1,Part-Time,Rural,Criminal Background
59,1,2,2,0.128531347,0,Student,Rural,Criminal Background
54,1,1,0,1,0,Employed,Urban,Criminal Background
26,0,1,4,0.825431303,0,Employed,Rural,No Criminal Background
42,1,2,1,0.669972786,0,Student,Urban,Criminal Background
42,0,3,3,0.252333348,0,Part-Time,Rural,Criminal Background
50,1,2,1,0.78628583,1,Unemployed,Rural,No Criminal Background
19,1,3,1,0.765458447,0,Employed,Urban,No Criminal Background
36,0,1,2,0.519654147,1,Student,Urban,No Criminal Background
63,1,3,0,0.925555951,0,Student,Rural,No Criminal Background
37,0,1,2,0.460403577,0,Student,Urban,No Criminal Background
59,0,3,0,0.875649923,1,Student,Rural,No Criminal Background
58,0,1,4,0.046749929,1,Employed,Rural,No Criminal Background
59,1,1,2,0.798637508,0,Unemployed,Rural,No Criminal Background
46,1,2,3,1,1,Part-Time,Rural,Criminal Background
23,0,0,0,1,0,Student,Urban,Criminal Background
34,0,0,2,0.309927836,1,Student,Urban,Criminal Background
42,1,1,3,0.609130746,0,Unemployed,Urban,Criminal Background
55,0,2,1,0.079667054,1,Unemployed,Urban,No Criminal Background
21,1,0,4,0.917008373,0,Part-Time,Rural,No Criminal Background
47,1,0,4,0.597000761,0,Employed,Rural,No Criminal Background
37,1,2,1,0.442865781,0,Unemployed,Urban,No Criminal Background
20,0,2,2,0.136452376,0,Employed,Urban,No Criminal Background
40,0,0,1,1,0,Employed,Urban,Criminal Background
68,1,0,3,0.55673,0,Student,Rural,Criminal Background
35,0,3,0,0.342342794,0,Employed,Urban,No Criminal Background
43,0,3,2,0.404498475,1,Student,Rural,Criminal Background
53,1,1,0,0.324836617,0,Student,Urban,No Criminal Background
25,1,0,1,0.601809809,1,Part-Time,Urban,No Criminal Background
34,0,2,4,1,0,Employed,Rural,Criminal Background
48,1,2,0,1,0,Unemployed,Rural,Criminal Background
54,0,0,0,0.582381807,0,Unemployed,Urban,No Criminal Background
